text,aspect1,aspect2,aspect3,aspect4,aspect5
phòng tiện_nghi ok thái_độ nhân_viên ok buffet lựa_chọn,1,1,1,0,0
resort đẹp nằm nhà_hàng hoa_viên quán_ăn cây_bàng,0,1,0,1,0
phòng_ốc rộng thoáng_mát đầy_đủ tiện_nghi thức_ăn_sáng đa_dạng,0,1,1,0,1
nhân_viên phục_vụ tận_tình,1,0,0,0,0
allezboo resort đón_tiếp_khách tốt,1,0,0,0,0
phòng cơ_sở vật_chất tốt,0,1,0,0,1
nhân_viên phục_vụ nhiệt_tình niềm_nở,1,0,0,0,0
chỉ_có buffet hơi nghèo_nàn món_ăn,0,0,-1,0,0
không_gian yên_tĩnh đẹp sang_trọng phòng tốt nội_thất ok,0,1,0,0,1
thức_ăn không_được phong_phú lắm ngon tây,0,0,-1,0,0
trả_phòng trễ resort vui_vẻ ko phụ_thu,1,0,0,0,0
giường mềm_mại phòng sạch_sẽ tiện_nghi ổn,0,1,0,0,1
bãi_biển phong_cảnh đẹp loại đá nhọn chú_ý,0,0,0,1,0
an_ninh chặt_chẽ hằng có_người thông_báo loại đá sóng hôm_đó,1,0,0,0,0
thật_là nhân_viên chu_đáo,1,0,0,0,0
thắc_mắc hơi thất_vọng bữa_ăn_sáng,0,0,-1,0,0
bữa_tối nhà_hàng resort thật_là ngon_miệng thực_đơn phong_phú,0,0,1,0,0
resort hơi nhỏ đẹp decor tinh_tế,0,1,0,0,0
nhân_viên thân_thiện nhiệt_tình,1,0,0,0,0
dịch_vụ phòng hơi chậm ít nhân_viên,-1,-1,0,0,0
resort khu trung_tâm buồn bar spa đóng_cửa sớm,1,0,0,-1,0
phòng rộng_rãi đẹp hơi lạ là_cùng phòng deluxe phòng bồn_tắm phòng yêu_cầu phòng hướng biển trên_cao phòng hướng vườn đất đề_nghị 2 phòng liền kề cửa thông bọn trẻ qua_lại yên_tâm hơi buồn,0,1,0,0,1
thức_ăn buffet ít món ngon lắm,0,0,-1,0,0
resort đẹp nhân_viên thân_thiện hồ bơi đẹp đầy_đủ tiện_nghi,1,0,0,0,1
đáng_tiếc buffet ít món,0,0,-1,0,0
toàn_là món tây ăn buffet resort có_lẽ buffet tệ,0,0,-1,0,0
ăn đươc món cơm_chiên phở ngoài_ra ăn 1 món món phô mai ăn cảm_giác buồn_nôn,0,0,-1,0,0
quay_lại món_ăn quá_tệ như_thế cho_dù nhân_viên thân_thiện nhiệt_tình,1,0,-1,0,0
phòng thiếu sự_lãng_mạn tinh_tế trang_trí phòng thiết bị cũ,0,-1,0,0,-1
hơn_nữa tầng_trệt thể ra_đây ngồi ngắm vườn vi sự_phân_cách phòng phòng kia thiếu sự_riêng_tư ghế thư_giãn thoải_mái,0,-1,0,0,-1
nhà_hàng mắc tiền khôn_ ngon ít khách ăn_trưa tối ở_đây,0,0,-1,-1,0
cocktails pha_chế tệ,0,0,-1,0,0
bữa_sáng ngon món tây phục_vụ thực_khách nước_ngoài,0,0,1,0,0
phòng_ăn tối thoáng_mát có_nhiều món_ăn ngon đến_nỗi không_biết lựa_chọn món,0,1,1,0,0
lễ_tân cười nói_năng từ_tốn nhẹ_nhàng,1,0,0,0,0
dịch_vụ tốt giá_cả,1,0,0,1,0
phòng lầu 3 view hướng vườn đẹp khu vườn chăm_sóc tốt buổi_sáng tản_bộ,0,1,0,1,0
phàn_nàn đường truyền wifi quá_tệ chấp_nhận,0,0,0,0,-1
tầng 3 vòi sen yếu,0,0,0,0,-1
bữa_sáng ổn nhà_hàng nấu_ăn ngon giá rẻ resort nhà_hàng ăn,0,0,1,1,0
chất_lượng phục_vụ nhà_hàng tạm_ổn hài_lòng phục_vụ phòng siêng_năng cẩn_thận,1,0,0,0,0
hồ_bơi đẹp nhân_viên phục_vụ hồ bơi hơi lazy chuyên_nghiệp,-1,0,0,0,0
bữa_sáng ok bữa_ăn chấp_nhận,0,0,1,0,0
tiếp_tân thân_thiện bill dịch_vụ sử_dụng cuối_cùng lịch_sự xin_lỗi sai_sót quá_trình bấm máy,1,0,0,0,0
trang_thiết_bị resort khá_tốt,0,0,0,0,1
phòng hồ bơi rộng_rãi ghế_dài đặt cạnh hồ bơi,0,0,0,0,1
nhân_viên hồ bơi không_chuyên_nghiệp phục_vụ phòng ok,-1,0,0,0,0
bữa_sáng ngon có_nhiều chọn_lựa bữa_tối hợp_khẩu_vị lắm giá nhà_hàng,0,0,1,0,0
wifi yếu khách_sạn điều_chỉnh khách công_tác,0,0,0,0,-1
hơi xa_nhà_hàng trung_tâm một_chút mọi_thứ ở_đây yên_tĩnh chấp_nhận,0,0,0,1,0
phòng rộng view hướng khu vườn rộng xanh đẹp,0,1,0,0,0
đường truyền internet wifi thật_sự tốt chồng gửi mail sài_gòn,0,0,0,0,1
phòng tốt hài_lòng chất_lượng nhất_là nhân_viên phục vụ nghỉ tại_đây,1,1,0,0,0
vila sạch_sẽ đầy_đủ tiện_nghi giá_cả hợp_lý,0,1,0,1,1
nhân_viên biệt_thự viva phan_thiết nhiệt_tình vui_vẻ hơi biển buổi_tối vắng_vẻ nói_là tốt,1,0,0,0,0
nhân_viên biệt_thự viva phan_thiết phục_vụ không_chuyên_nghiệp,-1,0,0,0,0
phòng_ốc đẹp,0,1,0,0,0
phòng_ốc rộng_rãi đầy_đủ tiện_nghi gia_đình 8 10 nghỉ dưỡng,0,1,0,0,1
biệt_thự cung_cấp dịch_vụ karaoke giải_trí buổi_tối,1,0,0,0,1
không_gian đẹp yên_tĩnh villa sạch_sẽ đẹp thoáng_mát thích_hợp gia_đình trẻ_em nhỏ chuẩn_bị đầy_đủ nguyên_liệu nấu_nướng nghĩ mua đồ,0,1,1,0,0
giá hợp_lý phù_hợp nhóm_bạn gia_đình,0,0,0,1,0
nhân_viên ở_đây hỗ_trợ nhiệt_tình,1,0,0,0,0
biệt_thự tiện_nghi đẹp,0,1,0,0,1
đặt biệt_thự viva phan_thiết chudu24 hài_lòng giá chất_lượng nhân_viên thân_thiện dịch_vụ tốt trả_phòng sắp_xếp_xong nhân_viên vui_vẻ,1,1,0,0,0
chất_lượng alma oasis long hải resort miễn_phí spa nhìn_chung tầm tôt,1,0,0,1,0
alma oasis long hải resort miễn_phí spa quang_cảnh yên_tĩnh mát_mẻ bãi_biển cát sình_lầy sạch_sẽ,0,1,0,1,0
phòng hiện_đại đẹp,0,1,0,0,0
alma oasis long hải resort miễn_phí spa buffet sáng_ngon phong_phú thực_đơn đổi món mỗi_ngày nhàm chán,0,1,1,1,0
cơm trưa đa_dạng vệ_sinh,0,0,1,0,0
phòng khung_cảnh hồ bơi lối .bày trí đẹp sang_trọng kiến_trúc bày trí phòng lạ sáng_tạo đẹp phòng nhỏ,0,1,0,1,0
phòng_tắm thoát đọng restroom,0,1,0,0,0
nhân_viên lịch_sự vui_vẻ chuyên_nghiệp tuần khách đông phòng đổi rất_lâu,1,-1,0,0,0
alma oasis long hải resort miễn_phí spa tốt quay_lại,0,1,0,1,0
gia_đình ấn_tượng tốt alma oasis long hải resort miễn_phí spa trang_trí dễ thương gian rộng_rãi thoáng_mát phòng rộng hồ bơi rộng phù_hợp gia đình con_nhỏ xuất massage miễn_phí điểm cộng phục_vụ nhân_viên chuyên_nghiệp thân_thiện,1,1,0,1,0
điểm trừ duy_nhất thức_ăn đơn_điệu thay_đổi,0,0,-1,0,0
phòng rộng_rãi sạch_sẽ view đẹp,0,1,0,0,0
nhân_viên dễ_thương nhiệt_tình lo_cho khách tắm biển hồ bơi,1,1,0,0,0
đồ_ăn tệ hợp_khẩu_vị hầu_như món,0,0,-1,0,0
gia_đình alma oasis long hải resort miễn_phí spa trung_bình 2 /1 khá_tốt mọi_mặt dài_lâu lần_sau cảm_giác hơi nhàm_chán lý_do,1,1,0,0,0
thực_đơn món_ăn nhà_hàng đơn_điệu ít đặc_sắc ít thay_đổi chu_kỳ,0,0,-1,0,0
ví_dụ thiếu bàn khu_vực vệ_sinh trước_khi hồ,0,0,0,0,-1
côn_trùng phòng,0,-1,0,0,0
nhìn_chung alma oasis long hải resort miễn_phí spa thiết_kế đẹp rộng_rãi thoáng_mát hồ bơi đẹp bãi_biển đẹp,0,1,0,0,0
nhân_viên lịch_sự phòng_ốc sáng_sủa,1,1,0,0,0
xắp xếp khu_vực đón khách alma oasis long hải resort miễn_phí spa hợp_lý khu nghỉ dưỡng nóng nhân_viên bếp măc đồng_phục quần jean áo màu giày_dép lung_tung bếp ăn bẩn khách cảm_giác thức_ăn không sạch_sẽ cơm nát sống.,1,0,-1,1,0
phòng xấu alma oasis long hải resort miễn_phí spa dột mưa,0,-1,0,1,0
cửa toilet bất_tiện chung con_nhỏ,0,0,0,0,-1
bồn_tắm ngoài_trời dọn_dẹp dơ lá mưa đọng_lại bồn_tắm sử_dụng,0,0,0,0,-1
toilet đọng cơn_mưa dơ,0,0,0,0,-1
cầu_thang dẫn_lên phòng trang_trí hoa không_được cắt tỉa khó,0,1,0,0,-1
phòng ăn nhỏ nóng đồ_ăn ít,0,-1,-1,0,0
ngòai vấn_đề ok hồ bơi thiết_kế đẹp tiện_lợi gia_đình con_nhỏ view tốt biển đẹp nhân_viên thân_thiện,1,1,0,1,0
dịch_vụ spa miễn_phí ok,1,0,0,1,0
nói_chung alma oasis long hải resort miễn_phí spa ổn,0,0,0,1,0
phòng màn tính_chất tượng_trưng che_chở,0,-1,0,0,-1
thức_ăn breakfast ok chấp_nhận,0,0,1,0,0
thực_đơn chất_lượng bữa_trưa tệ,0,0,-1,0,0
buổi_tối nằm 2,0,-1,0,0,0
phòng đẹp thích phòng_tắm ngoài_trời đặc_biệt thích dịch_vụ spa ở_đây nhân_viên phục_vụ nhiệt_tình dễ_thương,1,1,0,0,0
điểm trừ duy_nhất đồ_ăn giá hơi đắt 2 vợ_chồng ăn_hết 1tr5 no,0,0,-1,-1,0
alma oasis long hải resort miễn_phí spa thiết_kế đẹp sạch_sẽ phòng sạch_sẽ màu_sắc trang_nhã thiết_kế mới_lạ nhân_viên nhiệt_tình vị_trí đẹp,1,1,0,1,0
hồ_bơi đẹp dịch_vụ tốt không_gian yên_tĩnh xanh đẹp thích_hợp nghỉ dưỡng thoải_mái ,1,0,0,1,0
nhân_viên thân_thiện phục_vụ tốt,1,0,0,0,0
phòng đẹp nghỉ alma oasis long hải resort miễn_phí spa hơi nhỏ trang_bị đầy_đủ đầy_đủ tiện_nghi relax,0,1,0,0,1
buffet hơi nghèo_nàn,0,0,-1,0,0
tổng_thể resort đẹp hiện_đại,0,1,0,0,0
alma view đẹp trang_trí phòng dễ_thương 2 gam màu chủ_đạo trắng xanh biển ấn_tượng,0,1,0,0,1
bãi_biển đẹp ấm ít sóng hồ bơi đẹp nhân_viên nhiệt_tình vui_vẻ thức_ăn ngon,1,0,1,1,0
sóng wifi yếu spa free đăng_ký quá_đông giá phòng bao_gồm spa free hầu_như hưởng dịch_vụ spa,0,0,0,1,-1
gia_đình lần_trước đổi alma oasis long hải resort miễn_phí spa đánh_giá chung hơn_hẳn anoasis cũ phòng hài_lòng alma oasis mọi_mặt một_chút đề_nghị resort cải_thiện bổ_sung món_ăn thực_đơn la carte chất_lượng nấu_ăn ngon ít món khách 3-4 ăn resort món chọn_lựa,0,1,1,1,0
resort khung_cảnh đẹp đặc_biệt hồ bơi đẹp ấm_áp thích_hợp gia_đình con_nhỏ,0,1,0,0,0
vị_trí phòng đẹp trang_thiết_bị bên_trong phòng không_được cao_cấp lắm,0,-1,0,1,-1
phòng sạch_sẽ ánh_sáng thiên_nhiên trang_bị 1 rèm che ánh_sáng bên_trong phòng ngủ ban_ngày phòng bất_tiện,0,1,0,0,0
ăn_sáng hơi ít món ngon lắm,0,0,-1,0,0
ăn_trưa ăn tối giá vừa_phải gia_đình ăn 1 bữa còn_lại ăn resort,0,0,-1,1,0
dịch_vụ spa bao_gồm tiền phòng tốt phục_vụ nhiệt_tình,1,1,0,1,0
alma oasis long hải resort miễn_phí spa ok phòng đồ_dùng view ổn nói_chung khá_tốt có_điều restaurant nhỏ ăn_sáng chen_chúc ngột_ngạt check in out lâu sảnh máy_lạnh nắng trực_tiếp máy_tính in_hóa_đơn,0,1,-1,0,1
alma oasis long hải resort miễn_phí spa tái cơ_cấu đẹp nhân_viên nhiệt_tình chuyên_nghiệp,1,0,0,1,0
phòng_khách sạn thiết_kế độc_đáo dịch_vụ spa chuyên_nghiệp,1,1,0,0,0
đồ_ăn nhà_hàng ngon giá_hơi cao chất_lượng,0,0,1,-1,0
alma oasis long hải resort miễn_phí spa hoạt_động xuống_cấp nhanh chất lương xây_dựng tốt,0,-1,0,1,-1
bàn_ghế giường ximăng thay gỗ điểm độc_đáo,0,0,0,0,1
hồ_bơi_nên ghi_chú độ_sâu vùng tương_ứng hồ thiết_kế bật vòi phun trang_trí bể sục jacuzzi spa tốt phiếu điền trước_khi thực_hiện kỹ_thuật massage tốt đồng_bộ nhân_viên bất_tiện hẹn_giờ khó trống giờ tốt,1,0,0,0,1
nhân_viên khâu vui_vẻ thân_thiện,1,0,0,0,0
phòng alma oasis long hải resort miễn_phí spa rộng_rãi đẹp,0,1,0,1,0
đường phòng bậc_thang hơi tối ánh_sáng bồn_tắm dễ trượt té thuận_tiện người_già trẻ_em,0,-1,0,0,-1
spa chất_lượng,1,0,0,0,0
thức_ăn tạm_được,0,0,-1,0,0
phòng alma oasis long hải resort miễn_phí spa tuyệt_vời nhiên bố_trí cửa phòng kiếng trong_suốt hơi bất_tiện trẻ nhỏ chơi để_ý tông thẳng vào_cửa phân_biệt cửa mở đóng.,0,1,0,1,0
ngoài_ra phòng thiết_kế cửa kéo bé dễ kẹt tay đóng mở cửa,0,1,0,0,-1
alma oasis long hải resort miễn_phí spa đẹp thiết_bị vệ_sinh đẹp phong_cách phục_vụ nhẹ_nhàng hòa nhã hồ bơi bố_trí chỗ phù_hợp trẻ_em mát tốt khu_vực giữ_trẻ cũi miễn_phí phù_hợp gia_đình trẻ_nhỏ,1,1,0,1,1
bãi_biển hơi dơ máy_lạnh phòng mát không_gian rộng giữ_trẻ em_bé ít_quá 2-4pm buffet ít món món ko kịp số_lượng đông,0,1,-1,0,-1
alma oasis long hải resort miễn_phí spa tốt,0,0,0,1,0
mính alma oasis long hải resort miễn_phí spa 1 đêm 11h 2h phòng nhân_viên linh_động xếp phòng phòng_lúc 11h30 nói_chung good phòng đẹp nhân_viên phục_vụ tận_tình lịch_sự quản_lý bảo_vệ,1,1,0,0,0
có_nhà_hàng hơi khó ăn chút hợp_khẩu_vị giá_cả ok,0,0,-1,1,0
phòng alma oasis long hải resort miễn_phí spa hơi nhỏ,0,-1,0,1,0
wifi yếu gần_như sử_dụng,0,0,0,0,-1
máy_lạnh mát,0,0,0,0,1
nhân_viên phục_vụ tốt phản_ánh lập_tức sửa_chữa hoàn_toàn sửa,1,0,0,0,0
alma oasis long hải resort miễn_phí spa khánh_thành cơ_sở vật_chất thiết_kế phòng dạng mở logic tận_dụng không_gian tạo cảm_giác thoải_mái,0,1,0,0,1
điểm trừ duy_nhất nhân_viên tạp_vụ server ở_nhà_hàng số_ít thái_độ chuẩn resort 4,-1,0,0,0,1
mọi_thứ tốt alma oasis long hải resort miễn_phí spa sửa xong phòng phong_cách hiện_đại tone màu_xanh trắng phù_hợp không_khí biển nhân_viên huấn_luyện đàng_hoàng dịch_vụ ok,1,1,0,1,0
internet yếu,0,0,0,0,-1
đồ_ăn alma oasis long hải resort miễn_phí spa ngon giá_cả chấp_nhận đc resort,0,0,1,1,0
miễn_phí spa,0,0,0,1,0
tv cập_nhật phim,0,0,0,0,-1
bồn_tắm lộ_thiên đc chú_ý phòng trên_cao nhìn_xuống đẹp,0,1,0,0,0
menu đồ_ăn uống đa_dạng,0,0,1,0,0
bữa_sáng tương_xứng resort 4,0,0,1,0,0
phòng sạch_sẽ đẹp,0,1,0,0,0
nhân_viên nhiệt_tình,1,0,0,0,0
spa tuyệt,1,0,0,0,0
alma oasis long hải resort miễn_phí spa đẹp hcm,1,0,0,1,0
nhân_viên nhiệt_tình thân_thiện hồ_bơi đẹp ghế nằm hồ bơi,1,0,0,0,1
buồi tối sử_dụng spa thật thoải_mái phòng_ngủ giấc thật ngon,1,1,0,0,0
phòng thiết_kế đẹp thoải_mái,0,1,0,0,0
phòng alma oasis long hải resort đẹp không_khí lành nhân_viên thân_thiện,1,1,0,0,0
thích_hợp kỳ_nghỉ dưỡng gia_đình,1,0,0,0,0
phong_cảnh đẹp phục_vụ chu_đáo món_ăn alma oasis long hải resort không_được phong_phú lắm,1,0,-1,0,0
phòng family đẹp tivi internet tiện_lợi,0,1,0,0,1
tiếc ăn_sáng buffet đơn_điệu dịp quay_lại alma oasis long hải resort miễn_phí spa,0,0,-1,1,0
phòng alma oasis long hải resort miễn_phí spa sạch_sẽ thiết_kế đơn_giản tinh_tế gần_gũi thiên_nhiên,0,1,0,1,0
nhân_viên dễ_thương thân_thiện,1,0,0,0,0
kỳ_nghỉ tuần thoải_mái thư_giãn khung_cảnh thân_thiện môi_trường phòng_ốc đẹp,0,1,0,1,0
nhân_viên alma oasis long hải resort miễn_phí spa bản_xứ chân_thành nhiệt_tình,1,0,0,1,0
cám_ơn chudu24 đặt phòng giá tốt đầy 24h giờ check in cám_ơn alma oasis dịch_vụ spa miễn_phí tặng kèm,1,1,0,1,0
báo_có wifi thiết_bị truy_cập đươc cả.,0,0,0,0,1
phong_cảnh alma oasis long hải resort đẹp phòng_ốc hiện_đại sạch_sẽ hồ bơi tuyệt_vời em_bé_nhỏ,0,1,0,1,0
thức_ăn phong_phú,0,0,1,0,0
nhân_viên mọi_thứ tốt menu tiếng việt việt_nam,1,0,0,0,0
alma oasis long hải resort thiết_kế đẹp hơi nhỏ,0,1,0,0,0
spa miễn_phí sắp_xếp kém linh_động phòng spa tệ,0,-1,0,1,0
nhà_hàng tệ,0,1,0,0,0
menu toàn tiếng hình_ảnh định_lượng,0,0,0,0,1
thức_ăn bữa_sáng thật nghèo_nàn,0,0,-1,0,0
phòng alma oasis long hải resort miễn_phí spa đẹp sạch_sẽ,0,1,0,1,0
dịch_vụ spa xông hơi ở_đây tuyệt_vời thư_giãn,1,0,0,0,0
nhân_viên đa_số địa_phương nhiệt_tình thân_thiện,1,0,0,0,0
chỉ_có bếp ở_nhà_hàng nêm nếm món_ăn hơi mặn tí_xíu ăn tối,0,0,-1,0,0
alma oasis long hải resort tốt nhân_viên thân_thiện đáng nghĩ dưỡng wifi ok,1,0,0,0,1
biển_sạch nhân_viên ở_đây thân_thiện hướng_dẫn tận_tình bày trí phòng đẹp hợp_lý,1,1,0,0,0
mạng wifi chiều_tối lag,0,0,0,0,-1
ấn_tượng tại_đây nhân_viên làm_việc chuyên_nghiệp 1 món đồ nhỏ quên trao_trả tận_tay,1,0,0,0,0
alma oasis long hải resort miễn_phí spa phòng sạch_sẽ nhân_viên thân_thiện thức_ăn ít món ngon_miệng dịch_vụ spa tốt,1,1,-1,1,0
phòng nhỏ hơi chật tiện_nghi ít cây_xanh resort xây,0,-1,0,0,-1
kỳ_nghỉ chất_lượng phòng_không tốt đt vòi hoa_sen hỏng chăn ga gối đệm khu nghỉ đảm_bảo tiêu_chuẩn resort bãi_biển ồn_ào đặt phòng thực_tế xếp phòng yêu_cầu phiếu đặt phòng ghi phòng nghỉ 1 giường biệt_thự thực_tế khách_sạn bố chí phòng toàn cao_tầng,0,-1,0,0,-1
trước_hết bimexco đội_ngũ nhân_viên thiếu sự_chuyên_nghiệp nhân_viên khách_sạn nhân_viên nhà_hàng,-1,0,0,0,0
bước_vào phòng_ngủ đập mắt hình_ảnh chật_chội bố_trí thiếu chuyên_nghiệp cơ_sở vật_chất quá_tệ phòng_tắm không_hề dầu gội xà_phòng mặc_dù yêu_cầu tối_thiểu bắt_điện_thoại gọi lễ_tân định xin điện_thoại phòng_bị hư,-1,-1,0,0,-1
ăn_sáng ở_đây quá_tệ ban_đầu cứ_tưởng buffet resort ai_ngờ đâu gọi 1 lượt free bánh_mì opla phở gọi_thêm tính_tiền chất_lượng dỡ vô_cùng,-1,0,-1,0,0
gọi_thêm gọi mấy chẳng nhân_viên nhìn xung_quanh nhà_hàng quản_lí mặc nhân_viên làm_thế_nào khách gọi kệ khách chẳng nhân_viên quan_tâm,-1,0,0,0,0
tóm_lại bimexco ko xứng resort chất_lượng cở sở vật_chất nhân_viên ở_đây tương_xứng phòng trọ bình_thường,-1,0,0,0,-1
tiện_nghi phòng khỏi_nói quá_tệ,0,-1,0,0,-1
giường nhỏ chăn niệm chăn niệm,0,0,0,0,-1
bữa_ăn_sáng tệ 3 món trứng ốp la phở hủ_tíu xin trà đá charge phí,0,0,-1,0,0
gọi_là resort sát bờ_biển băng_qua đường phòng óc chật_chội dịch_vụ bình_thường,-1,-1,0,0,0
đồ_ăn thật đạm_bạc,0,0,-1,0,0
phòng cũ 04 2 giường 1,0,-1,0,0,1
phòng hơi chật_chội ăn_sáng phở trứng chiên ăn_trưa ăn tối toàn đồ đông_lạnh,0,-1,-1,0,0
nhìn tổng_thể bimexco resort đẹp biệt_thự riêng_biệt phòng 4 hơi nhỏ,0,1,0,0,0
nhân_viên thân_thiện,1,0,0,0,0
almanity hội_an alma courtyard cũ miễn_phí spa phố cổ đi_bộ thuận_tiện,0,0,0,1,0
khách_sạn đồ_đạc,0,0,0,0,1
phòng nhìn bể_bơi thiết_kế phong_cách nhỏ gọn hiện_đại tiện_ích kiểu căn_hộ nhỏ mới_mẻ thú_vị,0,1,0,0,0
đội_ngũ nhân_viên almanity thân_thiện mỉm_cười hỗ_trợ khách,1,0,0,0,0
nhân_viên nhiệt_tình vui_vẻ,1,0,0,0,0
đồ_ăn bữa_sáng ít món tương_xứng khách_sạn,0,0,-1,0,0
spa gói 45 miễn_phí mức bình_thường,1,0,0,1,0
nhân_viên lịch_sự,1,0,0,0,0
almanity hội_an alma courtyard cũ miễn_phí spa yên_tĩnh cảnh_đẹp phòng tiện_nghi thoải_mái khuôn_viên nhỏ,0,1,0,0,0
đồ_ăn bình_thường không_được ngon,0,0,-1,0,0
phòng_ngủ điều_hoà chĩa thẳng giường_ngủ đêm nằm bật 28 độ rét,0,1,0,0,-1
đồ_ăn ngon giá_đắt tiêu_chuẩn 4,0,0,1,-1,0
cảm_giác đươc thoải_mái vỉ chuyên_nghiêp,1,0,0,0,0
nhân_viên tiếp_đón tốt giải_quyết linh_hoạt trả_phòng trễ quy_định 2 tiếng,1,0,0,0,0
phòng rộng_rãi thiết_kế đẹp,0,1,0,0,0
cách_âm hơi kém phòng mặt_đường buổi_sáng hơi ồn ảnh_hưởng giấc_ngủ,0,0,0,0,-1
buffet ổn ngon món fusion suite đà_nẵng nhân_viên nhà_hàng phục_vụ chu_đáo,1,0,1,0,0
cocktail ngon,0,0,1,0,0
thức_ăn hơi dầu_mỡ ví_dụ món mì xào,0,0,-1,0,0
spa không_gian đẹp dịch_vụ tốt chuẩn 4,1,0,0,0,0
alma courtyard hội an resort miễn_phí spa phố cổ nhân_viên vui_vẻ hồ bơi bẩn đẹp lắm,1,0,0,1,0
alma courtyard hội an resort miễn_phí spa đẹp nội_thất phòng hiện_đại đồ_ăn đa_dạng,0,1,1,1,0
nhân_viên phục_vụ dễ_chịu,1,0,0,0,0
đội_ngũ chuyên_nghiệp thân_thiện,1,0,0,0,0
đồ_ăn ngon môi_trường trung_tâm phố cổ đi_bộ,0,0,1,1,0
alma courtyard hội an resort miễn_phí spa ít khách_du_lịch lưu_trú phòng_ốc sạch_sẽ ăn_sáng không_đổi món ít món,0,1,-1,1,0
khách_sạn trang_bị tiện nghi.,0,1,0,0,1
nhân_viên cười,1,0,0,0,0
alma courtyard hội an resort trung_tâm ăn_sáng tương_đối,0,0,1,0,0
thích nhất_là spa miễn_phí,0,0,0,1,0
alma courtyard hội_an resort khách_sạn nằm trung_tâm thành_phố hội_an vị_trí đẹp,0,0,0,1,0
kiểu kiến_trúc hiện_đại thoáng đãng đội_ngũ nhân_viên phục_vụ tận_tình chuyên_nghiệp,1,1,0,0,0
bình_an village dalat đẹp,0,1,0,0,0
nhân_viên phục_vụ chu_đáo,1,0,0,0,0
đồ_ăn cũng_đươc,0,0,1,0,0
tiếc nuối duy_nhất ở_đây hơi_xa,0,0,0,-1,0
bình_an village dalat tuyệt_vời,0,1,0,0,0
không_gian thoáng rộng yên_tĩnh bãi_cỏ rộng vườn_hoa đồi thông view bờ_hồ,0,0,0,1,0
vị_trí trung_tâm 15km nhu_cầu đi_chơi trung_tâm bất_tiện mặc_dù khách_sạn free shuttle bus đưa_đón khách_sạn trung_tâm 3 chuyến,0,0,0,-1,0
ăn_uống resort hơi ít món chọn nấu_ăn ngon giá_cả hợp_lý mắc 60-200k + +,0,0,-1,1,0
nhân_viên thân_thiện dễ_thương khách phục_vụ yêu_cầu khách,1,0,0,0,0
phòng rộng 47 m2 thiết_kế đẹp,0,1,0,0,0
giá hợp_lý,0,0,0,1,0
phong_cảnh bình_an village dalat thành_phố đà_lạt đẹp phòng rộng thoải_mái,0,1,0,1,0
giá hợp chất_lượng món_ăn ở_đây lựa_chọn ăn ngon,0,0,1,1,0
nhân_viên phục_vụ nhiệt_tình hài_lòng,1,0,0,0,0
đầu_bếp nấu món_ăn mặn,0,0,-1,0,0
bãi_biển amanoi resort đẹp khung_cảnh yên_tĩnh nhân_viên phục_vụ bãi_biển chuyên_nghiệp thân_thiện nhân_viên phục vụ nhà_hàng tận tình_chu đáo,1,1,0,0,0
nhân_viên vô_cùng lịch_sự,1,0,0,0,0
trang_thiết_bị phòng bình_minh resort cable car vũng_tàu kdl cáp_treo hồ_mây xuống_cấp hư_hỏng,0,0,0,0,-1
máy_lạnh hư_không bảo_trì,0,0,0,0,-1
ô khoá mở bên_ngoài mặc_dù sử_dụng thẻ,0,-1,0,0,-1
cửa buồn nhà_tắm hư lắp_vào trượt,0,0,0,0,-1
vòi chậu_rửa tay hư,0,0,0,0,-1
nút nhấn buồng toilet xả được_nước,0,0,0,0,1
ti vi tín_hiệu kém yếu,0,0,0,0,-1
ấn_tượng nhất_là thái_độ dịch_vụ nhân_viên tốt nói_chung mọi_thứ ok,1,0,0,0,0
tiện_nghi phòng bình_minh resort cable car vũng_tàu kdl cáp_treo hồ_mây tốt đèn hư máy_lạnh lạnh,0,1,0,1,-1
bình_minh resort cable car vũng_tàu kdl cáp_treo hồ_mây buổi_tối không_có giải_trí giá_cả phù_hợp,0,0,0,1,0
phòng_ốc quá_tệ thức_ăn_sáng ít nhân_viên không_được nhiệt_tình lắm,-1,-1,-1,0,0
kdl cáp_treo hồ mây 2 nói_chung thích_hợp gia_đình con_nhỏ tiện_ích trò_chơi thái_độ phục_vụ nhân_viên khá_tốt phòng_ốc không_được đẹp lắm sạch_sẽ,1,-1,0,0,1
nhân_viên phục_vụ tốt,1,0,0,0,0
thức_ăn bình_thường,0,0,-1,0,0
phòng khách_sạn không_được,0,-1,0,0,0
tín_hiệu tivi gián_đoạn,0,0,0,0,-1
nhân_viên nhiệt_tình,1,0,0,0,0
dịch_vụ tốt tiền 200k khu vui_chơi thay giá phòng du_khách cảm_giác bực_mình trả khoản_tiền,1,-1,0,-1,0
vị_trí tốt vũng_tàu thay_đổi không_khí đi_biển,0,0,0,1,0
phục_vụ chậm,-1,0,0,0,0
phòng đẹp mát_mẻ,0,1,0,0,0
nhân_viên nhiệt_tình dễ_thương đặc_biệt nhất_là nhiếp_ảnh anh_ấy chụp_hình hướng_dẫn_viên du_lịch gia_đình 1 nhiệt_tình chụp_hình đẹp chụp 43 460 nghìn,1,0,0,0,0
